date,oil_productivity,gas_productivity,operator_name
2018-01-01,9935.448275862069,13427.637931034482,ENERPLUS RESOURCES USA CORPORATION
2017-12-01,10070.0,13949.338983050848,ENERPLUS RESOURCES USA CORPORATION
2017-11-01,11266.065573770491,16060.983606557376,ENERPLUS RESOURCES USA CORPORATION
2017-10-01,10049.034482758621,14777.655172413793,ENERPLUS RESOURCES USA CORPORATION
2017-09-01,7228.245614035088,11957.263157894737,ENERPLUS RESOURCES USA CORPORATION
2017-08-01,7507.21568627451,12671.686274509804,ENERPLUS RESOURCES USA CORPORATION
2017-07-01,7107.693877551021,12158.69387755102,ENERPLUS RESOURCES USA CORPORATION
2017-06-01,7062.851063829788,12036.936170212766,ENERPLUS RESOURCES USA CORPORATION
2017-05-01,8519.617021276596,14552.72340425532,ENERPLUS RESOURCES USA CORPORATION
2017-04-01,7949.355555555556,12994.622222222222,ENERPLUS RESOURCES USA CORPORATION
2017-03-01,7443.363636363636,12620.15909090909,ENERPLUS RESOURCES USA CORPORATION
2017-02-01,7059.790697674419,11678.348837209302,ENERPLUS RESOURCES USA CORPORATION
2017-01-01,6028.925,11613.025,ENERPLUS RESOURCES USA CORPORATION
2016-12-01,6360.375,12752.475,ENERPLUS RESOURCES USA CORPORATION
2016-11-01,7619.25,15322.525,ENERPLUS RESOURCES USA CORPORATION
2016-10-01,7403.45,15147.025,ENERPLUS RESOURCES USA CORPORATION
2016-09-01,6370.8378378378375,13260.108108108108,ENERPLUS RESOURCES USA CORPORATION
2016-08-01,6154.75,12719.555555555555,ENERPLUS RESOURCES USA CORPORATION
2016-07-01,6492.714285714285,13765.457142857143,ENERPLUS RESOURCES USA CORPORATION
2016-06-01,7221.314285714286,14998.514285714286,ENERPLUS RESOURCES USA CORPORATION
2016-05-01,8137.857142857143,15292.714285714286,ENERPLUS RESOURCES USA CORPORATION
2016-04-01,8884.4,17607.628571428573,ENERPLUS RESOURCES USA CORPORATION
2016-03-01,7703.125,15391.875,ENERPLUS RESOURCES USA CORPORATION
2016-02-01,7523.878787878788,15049.69696969697,ENERPLUS RESOURCES USA CORPORATION
2016-01-01,9652.151515151516,19484.121212121212,ENERPLUS RESOURCES USA CORPORATION
2015-12-01,11268.151515151516,19687.454545454544,ENERPLUS RESOURCES USA CORPORATION
